trip_id,start_time,end_time,headway_secs
"651","05:00:00","22:00:00","900"
"652","05:00:00","22:00:00","900"
"653","05:00:00","22:00:00","900"
"654","05:00:00","22:00:00","900"
"655","05:00:00","22:00:00","900"
"656","05:00:00","22:00:00","900"
"657","05:00:00","22:00:00","900"
"658","05:00:00","22:00:00","900"
"659","05:00:00","22:00:00","900"
"660","05:00:00","22:00:00","900"
"661","05:00:00","22:00:00","900"
"662","05:00:00","22:00:00","900"
"663","05:00:00","22:00:00","900"
"664","05:00:00","22:00:00","900"
"665","05:00:00","22:00:00","900"
"666","05:00:00","22:00:00","900"
"667","05:00:00","22:00:00","900"
"668","05:00:00","22:00:00","900"
"669","05:00:00","22:00:00","900"
"670","05:00:00","22:00:00","900"
"671","05:00:00","22:00:00","900"
"672","05:00:00","22:00:00","900"
"673","05:00:00","22:00:00","900"
"674","05:00:00","22:00:00","900"
"675","05:00:00","22:00:00","900"
"676","05:00:00","22:00:00","900"
"677","05:00:00","22:00:00","900"
"678","05:00:00","22:00:00","900"
"679","05:00:00","22:00:00","900"
"680","05:00:00","22:00:00","900"
"681","05:00:00","22:00:00","900"
"682","05:00:00","22:00:00","900"
"683","05:00:00","22:00:00","900"
"684","05:00:00","22:00:00","900"
"685","05:00:00","22:00:00","900"
"686","05:00:00","22:00:00","900"
"687","05:00:00","22:00:00","900"
"688","05:00:00","22:00:00","900"
"689","05:00:00","22:00:00","900"
"690","05:00:00","22:00:00","900"
"691","05:00:00","22:00:00","900"
"692","05:00:00","22:00:00","900"
"693","05:00:00","22:00:00","900"
"694","05:00:00","22:00:00","900"
"695","22:00:00","29:00:00","1200"
"696","22:00:00","29:00:00","1200"
"697","05:00:00","22:00:00","900"
"698","05:00:00","22:00:00","900"
"699","05:00:00","22:00:00","900"
"700","05:00:00","22:00:00","900"
"701","05:00:00","22:00:00","900"
"702","05:00:00","22:00:00","900"
"703","05:00:00","22:00:00","900"
"704","05:00:00","22:00:00","900"
"705","05:00:00","22:00:00","900"
"706","05:00:00","22:00:00","900"
"707","05:00:00","22:00:00","900"
"708","05:00:00","22:00:00","900"
"709","05:00:00","22:00:00","900"
